method,transformation,accuracy,euk_acc,pro_acc,learning time,prediction time
EukRep,freq,0.8604738902039133,0.8489723927139796,0.871975387693847,6.711848783493042,0.13930044174194336
EukRep,clr,0.85847467383512,0.8508749604766429,0.8660743871935968,24.19601740837097,0.05270485877990723
EukRep,k-means(k=10),0.8610833475382218,0.8490911573075592,0.8730755377688844,7.1324625492095945,0.050101613998413085
linear svc,freq,0.8550211461966407,0.8407669547244471,0.8692753376688345,0.1683040142059326,0.09350619316101075
linear svc,clr,0.8584058738738829,0.8506373605541688,0.8661743871935969,2.3144561767578127,0.05769362449645996
linear svc,k-means(k=10),0.8584657320019691,0.8463561763601163,0.8705752876438219,0.2283348560333252,0.09667320251464843
kernel svc,freq,0.9160606523030304,0.9015344611843495,0.9305868434217108,6.639530611038208,1.3598649024963378
kernel svc,clr,0.9157011846135706,0.9014156258554552,0.9299867433716859,7.546772766113281,0.9617005825042725
kernel svc,k-means(k=15),0.9092802577931316,0.8948748727648524,0.9236856428214107,9.254686069488525,1.5116324424743652
logistic regression,freq,0.8598278137705784,0.8458803398973347,0.8737752876438218,2.3015904903411863,0.04633464813232422
logistic regression,clr,0.8596493497283578,0.8499237119629687,0.8693749874937469,1.0222280502319336,0.04768948554992676
logistic regression,k-means(k=10),0.8607194427690121,0.8476636479192147,0.8737752376188095,1.4018211364746094,0.026141262054443358
random forest,freq,0.9100810382791998,0.9011778844623514,0.9189841920960481,7.92677001953125,0.10183887481689453
random forest,clr,0.9101594016777176,0.9015344611843498,0.9187843421710855,7.274725866317749,0.09445509910583497
random forest,k-means(k=15),0.9084726152948381,0.898561738843803,0.9183834917458731,4.50008749961853,0.08115792274475098
neural network,freq,0.9062785565028841,0.8929728708847078,0.9195842421210607,335.9900065898895,0.0651519775390625
neural network,clr,0.9288548747635869,0.9228214053550878,0.934888344172086,199.23104429244995,0.05142807960510254
neural network,k-means(k=15),0.9053625362373806,0.8896405302036257,0.9210845422711357,350.47680296897886,0.08181982040405274
